"Date","HomeTeam","AwayTeam","ID"
"12/04/19","Nurnberg","Schalke 04",29
"13/04/19","Hannover","M'gladbach",29
"13/04/19","RB Leipzig","Wolfsburg",29
"13/04/19","Stuttgart","Leverkusen",29
"13/04/19","Werder Bremen","Freiburg",29
"13/04/19","Dortmund","Mainz",29
"14/04/19","Hoffenheim","Hertha",29
"14/04/19","Fortuna Dusseldorf","Bayern Munich",29
"14/04/19","Ein Frankfurt","Augsburg",29
"21/04/19","Mainz","Fortuna Dusseldorf",30
"21/04/19","Leverkusen","Nurnberg",30
"21/04/19","Bayern Munich","Werder Bremen",30
"21/04/19","Augsburg","Stuttgart",30
"21/04/19","M'gladbach","RB Leipzig",30
"21/04/19","Schalke 04","Hoffenheim",30
"21/04/19","Freiburg","Dortmund",30
"21/04/19","Hertha","Hannover",30
"22/04/19","Wolfsburg","Ein Frankfurt",30
