AwayTeam,BWA,BWD,BWH,DOW,Date,HomeTeam,Time
1. FC Köln,4.25,4.00,1.70,Mittwoch,11.03.2020,Borussia Mönchengladbach,18:30
SC Paderborn 07,3.30,3.80,2.00,Freitag,13.03.2020,Fortuna Düsseldorf,20:30
FSV Mainz 05,3.70,3.80,1.87,Samstag,14.03.2020,1. FC Köln,15:30
FC Schalke 04,6.50,5.50,1.36,Samstag,14.03.2020,Borussia Dortmund,15:30
SC Freiburg,12.00,6.50,1.20,Samstag,14.03.2020,RB Leipzig,15:30
Hertha BSC,3.80,3.60,1.90,Samstag,14.03.2020,1899 Hoffenheim,15:30
FC Bayern München,1.20,6.50,12.00,Samstag,14.03.2020,1. FC Union Berlin,18:30
Borussia Mönchengladbach,2.35,3.70,2.65,Sonntag,15.03.2020,Eintracht Frankfurt,15:30
VfL Wolfsburg,2.40,3.50,2.70,Sonntag,15.03.2020,FC Augsburg,18:00
Bayer Leverkusen,1.90,4.00,3.40,Montag,16.03.2020,Werder Bremen,20:30
RB Leipzig,1.55,4.50,5.00,Freitag,20.03.2020,FSV Mainz 05,20:30
Werder Bremen,3.25,3.50,2.10,Samstag,21.03.2020,SC Freiburg,15:30
FC Augsburg,3.80,3.70,1.87,Samstag,21.03.2020,FC Schalke 04,15:30
Fortuna Düsseldorf,4.75,3.90,1.65,Samstag,21.03.2020,1. FC Köln,15:30
1899 Hoffenheim,2.05,3.70,3.20,Samstag,21.03.2020,SC Paderborn 07,15:30
1. FC Union Berlin,2.75,3.25,2.50,Samstag,21.03.2020,Hertha BSC,18:30
Bayer Leverkusen,3.10,3.70,2.10,Sonntag,22.03.2020,Borussia Mönchengladbach,13:30
Eintracht Frankfurt,13.00,7.75,1.16,Sonntag,22.03.2020,FC Bayern München,15:30
Borussia Dortmund,1.83,3.75,3.90,Sonntag,22.03.2020,VfL Wolfsburg,18:00
