DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2012-07-03,Europe,Champions League,CUP,2012/2013,Linfield,B36,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2012-07-03,Europe,Champions League,CUP,2012/2013,F91 Dudelange,Tre Penne,H,7,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2012-07-03,Europe,Champions League,CUP,2012/2013,Valletta,Lusitanos,H,8,0,H,6,0,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2012-07-10,Europe,Champions League,CUP,2012/2013,Lusitanos,Valletta,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2012-07-10,Europe,Champions League,CUP,2012/2013,B36,Linfield,D,0,0,D,0,0,D,0,0,A,3,4,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2012-07-10,Europe,Champions League,CUP,2012/2013,Tre Penne,F91 Dudelange,A,0,4,A,0,4,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2012-07-17,Europe,Champions League,CUP,2012/2013,Žilina,Ironi Kiryat Shmona,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2012-07-17,Europe,Champions League,CUP,2012/2013,Ulisses,Sheriff,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2012-07-17,Europe,Champions League,CUP,2012/2013,Shamrock Rovers,Ekranas,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2012-07-17,Europe,Champions League,CUP,2012/2013,Neftçi,Zestafoni,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
