DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2021-08-13,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Mönchengladbach,FC Bayern München,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,4,7,35,3,5,2,0,20,9,11,65,8,4,0,0
2021-08-14,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Dortmund,Eintracht Frankfurt,H,5,2,H,3,1,N/A,N/A,N/A,N/A,N/A,N/A,13,9,4,60,7,4,0,0,10,4,6,40,3,13,0,0
2021-08-14,Germany,Bundesliga,LEAGUE,2021/2022,VfL Wolfsburg,VfL Bochum 1848,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,18,9,9,61,5,9,0,0,7,1,6,39,2,6,2,1
2021-08-14,Germany,Bundesliga,LEAGUE,2021/2022,FC Union Berlin,Bayer 04 Leverkusen,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,8,5,3,33,1,15,0,0,15,3,12,67,6,6,1,0
2021-08-14,Germany,Bundesliga,LEAGUE,2021/2022,FC Augsburg,TSG Hoffenheim,A,0,4,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,7,0,7,46,6,10,1,0,16,8,8,54,5,8,2,0
2021-08-14,Germany,Bundesliga,LEAGUE,2021/2022,DSC Arminia Bielefeld,SC Freiburg,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,44,4,13,3,0,14,6,8,56,9,11,4,0
2021-08-14,Germany,Bundesliga,LEAGUE,2021/2022,VfB Stuttgart,SpVgg Greuther Fürth,H,5,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,30,15,15,67,9,14,0,0,8,4,4,33,2,9,1,0
2021-08-15,Germany,Bundesliga,LEAGUE,2021/2022,FC Köln,Hertha BSC,H,3,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,59,4,15,4,0,9,4,5,41,5,16,2,0
2021-08-15,Germany,Bundesliga,LEAGUE,2021/2022,FSV Mainz 05,RB Leipzig,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,7,3,4,28,5,12,1,0,15,2,13,72,11,8,2,0
2021-08-20,Germany,Bundesliga,LEAGUE,2021/2022,RB Leipzig,VfB Stuttgart,H,4,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,26,11,15,52,6,10,0,0,12,5,7,48,2,10,3,0
