DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2020-08-18,Europe,Europa League,CUP,2020/2021,,,A,1,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,52,9,SNV,2,0,9,5,4,48,2,SNV,1,0
2020-08-20,Europe,Europa League,CUP,2020/2021,,La Fiorita,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,61,10,SNV,3,0,1,0,1,39,2,SNV,5,0
2020-08-20,Europe,Europa League,CUP,2020/2021,,Barry Town United,H,5,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,11,7,64,9,SNV,2,0,4,2,2,36,0,SNV,1,0
2020-08-20,Europe,Europa League,CUP,2020/2021,,B36,A,1,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,14,4,10,55,7,16,3,0,8,5,3,45,1,17,1,0
2020-08-20,Europe,Europa League,CUP,2020/2021,Glentoran,HB,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,7,2,5,43,5,15,4,0,11,3,8,57,9,14,4,0
2020-08-20,Europe,Europa League,CUP,2020/2021,FC Santa Coloma,,D,0,0,D,0,0,D,0,0,A,3,4,0,0,0,31,0,SNV,5,1,16,10,6,69,9,SNV,7,0
2020-08-21,Europe,Europa League,CUP,2020/2021,Tre Penne,,A,1,3,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,4,3,1,35,2,SNV,6,1,25,13,12,65,11,SNV,2,0
2020-08-22,Europe,Europa League,CUP,2020/2021,Lincoln Red Imps,Prishtina,H,3,0,,,,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2020-08-25,Europe,Europa League,CUP,2020/2021,,Derry City,H,3,2,D,1,1,H,1,0,N/A,N/A,N/A,11,4,7,51,2,29,4,0,22,8,14,49,11,17,2,0
2020-08-26,Europe,Europa League,CUP,2020/2021,Progrès Niedercorn,,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,8,1,SNV,9,SNV,3,0,3,2,1,SNV,4,SNV,3,0
2020-08-27,Europe,Europa League,CUP,2020/2021,,Lokomotiv Plovdiv,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,44,3,SNV,3,0,4,2,2,56,4,SNV,0,0
2020-08-27,Europe,Europa League,CUP,2020/2021,,Piast Gliwice,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,13,2,11,56,6,19,2,0,8,3,5,44,4,18,1,0
2020-08-27,Europe,Europa League,CUP,2020/2021,,Hibernians,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,18,4,14,68,14,13,2,0,6,3,3,32,1,13,4,1
2020-08-27,Europe,Europa League,CUP,2020/2021,Partizan,,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,58,3,21,3,0,5,0,5,42,2,18,2,0
2020-08-27,Europe,Europa League,CUP,2020/2021,Aberdeen,,H,6,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,19,7,12,70,7,11,0,0,4,1,3,30,1,11,2,0
2020-08-27,Europe,Europa League,CUP,2020/2021,FH,DAC,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,8,1,7,SNV,2,13,2,0,16,8,8,SNV,2,15,1,0
2020-08-27,Europe,Europa League,CUP,2020/2021,Rosenborg,Breidablik,H,4,2,H,4,0,N/A,N/A,N/A,N/A,N/A,N/A,9,5,4,48,6,SNV,3,0,9,2,7,52,5,SNV,2,0
2020-08-27,Europe,Europa League,CUP,2020/2021,Alashkert,Renova,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,2,7,62,3,SNV,4,0,5,4,1,38,5,SNV,3,0
2020-08-27,Europe,Europa League,CUP,2020/2021,,Skendija 79,A,0,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,50,0,22,0,0,7,6,1,50,0,8,0,0
2020-08-27,Europe,Europa League,CUP,2020/2021,The New Saints,Žilina,H,3,1,D,0,0,H,2,0,N/A,N/A,N/A,22,13,9,45,12,SNV,5,0,16,5,11,55,5,SNV,4,4
2020-08-27,Europe,Europa League,CUP,2020/2021,Maribor,,D,1,1,D,0,0,D,0,0,A,4,5,23,5,18,67,7,SNV,1,0,7,3,4,33,2,SNV,8,0
2020-08-27,Europe,Europa League,CUP,2020/2021,Borac Banja Luka,Sutjeska,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,6,2,4,56,6,SNV,3,0,10,3,7,44,3,SNV,4,0
2020-08-27,Europe,Europa League,CUP,2020/2021,Teuta Durrës,Beitar Jerusalem,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,2,7,39,3,14,4,0,12,2,10,61,3,21,3,0
2020-08-27,Europe,Europa League,CUP,2020/2021,Ventspils,,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,0,SNV,SNV,SNV,0,SNV,0,0,0,SNV,SNV,SNV,0,SNV,0,0
2020-08-27,Europe,Europa League,CUP,2020/2021,,APOEL,A,0,2,D,0,0,A,0,2,N/A,N/A,N/A,5,0,5,40,1,35,4,0,19,7,12,60,13,17,3,0
2020-08-27,Europe,Europa League,CUP,2020/2021,Lech Poznań,,H,3,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,27,7,20,76,6,12,0,0,4,3,1,24,1,13,0,0
2020-08-27,Europe,Europa League,CUP,2020/2021,CSKA Sofia,,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,20,7,13,65,6,13,3,0,4,3,1,35,4,16,1,0
2020-08-27,Europe,Europa League,CUP,2020/2021,Honvéd,Inter Turku,H,2,1,D,0,0,H,1,0,N/A,N/A,N/A,15,3,12,54,2,20,3,0,13,3,10,46,2,9,3,0
2020-08-27,Europe,Europa League,CUP,2020/2021,Motherwell,Glentoran,H,5,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,28,12,16,SNV,12,15,1,0,10,3,7,SNV,6,7,3,1
2020-08-27,Europe,Europa League,CUP,2020/2021,B36,Levadia,H,4,3,D,0,0,H,2,1,N/A,N/A,N/A,14,5,9,44,7,SNV,6,0,18,9,9,56,2,SNV,4,0
