Date,Time,Dow,Season,HomeTeam,AwayTeam,HTHG,HTAG,HTR,FTHG,FTAG,FTR,ETHG,ETAG,ETR,PENHG,PENAG,PENR,Predict
13.08.2010,19:00,Friday,1011,SV Wilhelmshaven,Eintracht Frankfurt,0,2,A,0,4,A,-1,-1,-1,-1,-1,-1,False
13.08.2010,19:00,Friday,1011,FC Ingolstadt,Karlsruher SC,1,0,H,2,0,H,-1,-1,-1,-1,-1,-1,False
13.08.2010,19:00,Friday,1011,VfB Lübeck,MSV Duisburg,0,0,D,0,2,A,-1,-1,-1,-1,-1,-1,False
13.08.2010,19:00,Friday,1011,FSV Frankfurt,SC Paderborn 07,0,0,D,2,0,H,-1,-1,-1,-1,-1,-1,False
13.08.2010,19:00,Friday,1011,VfL Osnabrück,1. FC Kaiserslautern,1,0,H,1,1,D,2,3,A,-1,-1,-1,False
13.08.2010,19:00,Friday,1011,Jahn Regensburg,Arminia Bielefeld,0,1,A,1,1,D,1,1,D,5,6,A,False
14.08.2010,15:30,Saturday,1011,FK Pirmasens,Bayer 04 Leverkusen,0,1,A,1,11,A,-1,-1,-1,-1,-1,-1,False
14.08.2010,15:30,Saturday,1011,SV Wacker Burghausen,Borussia Dortmund,0,2,A,0,3,A,-1,-1,-1,-1,-1,-1,False
14.08.2010,15:30,Saturday,1011,SV Babelsberg 03,VfB Stuttgart,1,2,A,1,2,A,-1,-1,-1,-1,-1,-1,False
14.08.2010,15:30,Saturday,1011,FC Oberneuland,SC Freiburg,0,1,A,0,1,A,-1,-1,-1,-1,-1,-1,False
14.08.2010,15:30,Saturday,1011,SC Pfullendorf,Hertha BSC,0,0,D,0,2,A,-1,-1,-1,-1,-1,-1,False
14.08.2010,15:30,Saturday,1011,Rot Weiss Ahlen,Werder Bremen,0,1,A,0,4,A,-1,-1,-1,-1,-1,-1,False
14.08.2010,15:30,Saturday,1011,SC Verl,TSV 1860 München,1,0,H,1,2,A,-1,-1,-1,-1,-1,-1,False
14.08.2010,15:30,Saturday,1011,Hansa Rostock,1899 Hoffenheim,0,4,A,0,4,A,-1,-1,-1,-1,-1,-1,False
