AC,AF,AGFTa,AGFTe,AR,AS,AST,AY,Aimp,Aspi,AwayTeam,Axnsg,Axsg,BWA,BWD,BWH,Date,Dow,FTAG,FTHG,FTR,HC,HF,HGFTa,HGFTe,HR,HS,HST,HTAG,HTHG,HTR,HY,Himp,HomeTeam,Hspi,Hxnsg,Hxsg,Predict,Season,Time,ppA,ppD,ppH,xAG,xHG
3.0,12.0,,,0.0,14.0,4.0,0.0,,,Stuttgart,,,3.5,3.3,1.95,07.08.2009,Friday,0.0,2.0,H,6.0,12.0,,,0.0,13.0,7.0,0.0,0.0,D,0.0,,Wolfsburg,,,,False,0910,,,,,,
1.0,10.0,,,0.0,7.0,0.0,1.0,,,FC Koln,,,4.8,3.5,1.65,08.08.2009,Saturday,0.0,1.0,H,16.0,8.0,,,0.0,24.0,11.0,0.0,0.0,D,0.0,,Dortmund,,,,False,0910,,,,,,
3.0,20.0,,,0.0,15.0,3.0,2.0,,,Hannover,,,4.0,3.4,1.8,08.08.2009,Saturday,0.0,1.0,H,5.0,16.0,,,0.0,10.0,4.0,0.0,0.0,D,3.0,,Hertha,,,,False,0910,,,,,,
10.0,28.0,,,0.0,9.0,3.0,2.0,,,Bayern Munich,,,1.85,3.45,3.75,08.08.2009,Saturday,1.0,1.0,D,3.0,10.0,,,0.0,9.0,1.0,1.0,1.0,D,0.0,,Hoffenheim,,,,False,0910,,,,,,
5.0,28.0,,,0.0,13.0,7.0,2.0,,,Leverkusen,,,1.95,3.25,3.55,08.08.2009,Saturday,2.0,2.0,D,3.0,22.0,,,0.0,8.0,4.0,2.0,1.0,A,1.0,,Mainz,,,,False,0910,,,,,,
6.0,21.0,,,0.0,9.0,5.0,1.0,,,Schalke 04,,,2.05,3.25,3.3,08.08.2009,Saturday,2.0,1.0,A,9.0,14.0,,,0.0,14.0,3.0,1.0,0.0,A,2.0,,Nurnberg,,,,False,0910,,,,,,
3.0,20.0,,,0.0,15.0,8.0,2.0,,,Ein Frankfurt,,,7.0,4.15,1.4,08.08.2009,Saturday,3.0,2.0,A,9.0,18.0,,,1.0,22.0,10.0,2.0,2.0,D,1.0,,Werder Bremen,,,,False,0910,,,,,,
5.0,21.0,,,1.0,10.0,7.0,1.0,,,M'gladbach,,,3.05,3.3,2.15,09.08.2009,Sunday,3.0,3.0,D,11.0,13.0,,,0.0,28.0,8.0,3.0,0.0,A,3.0,,Bochum,,,,False,0910,,,,,,
6.0,19.0,,,0.0,14.0,3.0,1.0,,,Hamburg,,,1.95,3.3,3.55,09.08.2009,Sunday,1.0,1.0,D,12.0,22.0,,,0.0,17.0,6.0,1.0,0.0,A,2.0,,Freiburg,,,,False,0910,,,,,,
2.0,9.0,,,0.0,10.0,1.0,0.0,,,Werder Bremen,,,5.25,3.8,1.55,15.08.2009,Saturday,1.0,1.0,D,5.0,13.0,,,0.0,9.0,4.0,1.0,0.0,A,1.0,,Bayern Munich,,,,False,0910,,,,,,
6.0,8.0,,,0.0,21.0,6.0,1.0,,,Nurnberg,,,3.4,3.3,2.0,15.08.2009,Saturday,1.0,1.0,D,4.0,12.0,,,0.0,12.0,6.0,0.0,1.0,H,1.0,,Ein Frankfurt,,,,False,0910,,,,,,
6.0,13.0,,,0.0,20.0,9.0,0.0,,,Wolfsburg,,,1.8,3.3,4.15,15.08.2009,Saturday,3.0,1.0,A,4.0,17.0,,,0.0,13.0,6.0,0.0,0.0,D,1.0,,FC Koln,,,,False,0910,,,,,,
3.0,17.0,,,0.0,12.0,4.0,1.0,,,Dortmund,,,3.4,3.3,2.0,15.08.2009,Saturday,1.0,4.0,H,10.0,16.0,,,0.0,18.0,9.0,1.0,3.0,H,0.0,,Hamburg,,,,False,0910,,,,,,
3.0,17.0,,,0.0,8.0,3.0,2.0,,,Mainz,,,4.35,3.35,1.75,15.08.2009,Saturday,1.0,1.0,D,8.0,18.0,,,0.0,13.0,6.0,0.0,0.0,D,0.0,,Hannover,,,,False,0910,,,,,,
2.0,22.0,,,0.0,3.0,2.0,2.0,,,Hoffenheim,,,3.4,3.3,2.0,15.08.2009,Saturday,0.0,1.0,H,6.0,20.0,,,0.0,14.0,5.0,0.0,0.0,D,3.0,,Leverkusen,,,,False,0910,,,,,,
5.0,23.0,,,0.0,13.0,5.0,3.0,,,Freiburg,,,6.8,3.8,1.45,15.08.2009,Saturday,2.0,4.0,H,3.0,10.0,,,0.0,13.0,5.0,0.0,0.0,D,2.0,,Stuttgart,,,,False,0910,,,,,,
