"","spiTeam","stdTeam"
"1","Bayern Munich","Bayern Munich"
"2","TSG Hoffenheim","Hoffenheim"
"3","Hannover 96","Hannover"
"4","Hertha Berlin","Hertha"
"5","Eintracht Frankfurt","Ein Frankfurt"
"6","FC Cologne","FC Koln"
"7","Borussia Dortmund","Dortmund"
"8","SC Paderborn","Paderborn"
"9","Borussia Monchengladbach","M'gladbach"
"10","FC Augsburg","Augsburg"
"11","Werder Bremen","Werder Bremen"
"12","VfB Stuttgart","Stuttgart"
"13","Hamburg SV","Hamburg"
"14","Bayer Leverkusen","Leverkusen"
"15","VfL Wolfsburg","Wolfsburg"
"16","Schalke 04","Schalke 04"
"17","Mainz","Mainz"
"18","SC Freiburg","Freiburg"
"312","SV Darmstadt 98","Darmstadt"
"323","FC Ingolstadt 04","Ingolstadt"
"628","RB Leipzig","RB Leipzig"
"1227","Fortuna Düsseldorf","Fortuna Dusseldorf"
"1235","1. FC Nürnberg","Nurnberg"
"333","1. FC Union Berlin",Union Berlin

