Date,season,HomeTeam,AwayTeam,FTHG,FTAG,xHG,xAG,pH,pD,pA
2014-08-22 19:30:00,2014,Bayern Munich,Wolfsburg,2,1,2.57012,1.19842,0.7224,0.1814,0.0962
2014-08-23 14:30:00,2014,Hoffenheim,Augsburg,2,0,1.52873,0.280777,0.7788,0.1768,0.0444
2014-08-23 14:30:00,2014,Hannover 96,Schalke 04,2,1,1.17979,0.956665,0.4179,0.3115,0.2706
2014-08-23 14:30:00,2014,Hertha Berlin,Werder Bremen,2,2,1.75585,1.19453,0.5051,0.319,0.1759
2014-08-23 14:30:00,2014,Eintracht Frankfurt,Freiburg,1,0,1.75331,1.38084,0.4641,0.2547,0.2812
2014-08-23 14:30:00,2014,FC Cologne,Hamburger SV,0,0,0.522276,0.913337,0.1907,0.3641,0.4452
2014-08-23 17:30:00,2014,Borussia Dortmund,Bayer Leverkusen,0,2,0.482324,1.14915,0.1428,0.3095,0.5477
2014-08-24 14:30:00,2014,Paderborn,Mainz 05,2,2,0.35254,1.84123,0.0317,0.1405,0.8278
2014-08-24 16:30:00,2014,Borussia M.Gladbach,VfB Stuttgart,1,1,2.40939,0.433199,0.8594,0.1092,0.0314
2014-08-29 19:30:00,2014,Augsburg,Borussia Dortmund,2,3,1.00422,2.30342,0.1219,0.1884,0.6897
2014-08-30 14:30:00,2014,Werder Bremen,Hoffenheim,1,1,2.51429,1.29948,0.6796,0.2082,0.1122
2014-08-30 14:30:00,2014,VfB Stuttgart,FC Cologne,0,2,0.722885,1.2983,0.1737,0.2973,0.529
2014-08-30 14:30:00,2014,Hamburger SV,Paderborn,0,3,1.14049,2.37004,0.0921,0.1897,0.7182
2014-08-30 14:30:00,2014,Bayer Leverkusen,Hertha Berlin,4,2,2.53036,0.712547,0.8156,0.1395,0.0449
2014-08-30 14:30:00,2014,Wolfsburg,Eintracht Frankfurt,2,2,1.00484,1.59633,0.1881,0.2795,0.5324
2014-08-30 17:30:00,2014,Schalke 04,Bayern Munich,1,1,1.30795,1.50328,0.2651,0.3452,0.3897
