,Date,HomeTeam,AwayTeam,BWH,BWD,BWA,DOW
0,12.04.2019,1. FC Nürnberg,FC Schalke 04,3.30,3.30,2.25,Freitag
1,13.04.2019,Hannover 96,Borussia Mönchengladbach,5.50,4.10,1.60,Samstag
2,13.04.2019,RB Leipzig,VfL Wolfsburg,1.60,4.00,5.75,Samstag
3,13.04.2019,VfB Stuttgart,Bayer Leverkusen,4.40,3.80,1.78,Samstag
4,13.04.2019,Werder Bremen,SC Freiburg,1.60,4.10,5.50,Samstag
5,13.04.2019,Borussia Dortmund,FSV Mainz 05,1.30,5.75,9.50,Samstag
6,14.04.2019,1899 Hoffenheim,Hertha BSC,1.45,4.75,6.50,Sonntag
7,14.04.2019,Fortuna Düsseldorf,FC Bayern München,12.50,7.25,1.20,Sonntag
8,14.04.2019,Eintracht Frankfurt,FC Augsburg,1.53,4.40,6.00,Sonntag
9,20.04.2019,FC Bayern München,Werder Bremen,1.18,7.00,12.50,Samstag
10,20.04.2019,Bayer Leverkusen,1. FC Nürnberg,1.28,5.50,9.00,Samstag
11,20.04.2019,FC Augsburg,VfB Stuttgart,2.05,3.60,3.30,Samstag
12,20.04.2019,FSV Mainz 05,Fortuna Düsseldorf,2.20,3.50,3.00,Samstag
13,20.04.2019,Borussia Mönchengladbach,RB Leipzig,2.70,3.40,2.45,Samstag
14,20.04.2019,FC Schalke 04,1899 Hoffenheim,2.95,3.60,2.20,Samstag
15,21.04.2019,SC Freiburg,Borussia Dortmund,5.50,4.20,1.55,Sonntag
16,21.04.2019,Hertha BSC,Hannover 96,1.45,4.75,6.00,Sonntag
17,22.04.2019,VfL Wolfsburg,Eintracht Frankfurt,2.50,3.50,2.60,Montag
18,26.04.2019,FC Augsburg,Bayer Leverkusen,3.80,3.50,1.91,Freitag
19,27.04.2019,Borussia Dortmund,FC Schalke 04,1.45,4.60,6.00,Samstag
20,27.04.2019,RB Leipzig,SC Freiburg,1.36,5.00,7.50,Samstag
21,27.04.2019,Hannover 96,FSV Mainz 05,2.70,3.60,2.35,Samstag
22,27.04.2019,Eintracht Frankfurt,Hertha BSC,1.55,4.00,5.75,Samstag
23,27.04.2019,Fortuna Düsseldorf,Werder Bremen,2.60,3.50,2.50,Samstag
24,27.04.2019,VfB Stuttgart,Borussia Mönchengladbach,3.40,3.60,2.00,Samstag
25,28.04.2019,1899 Hoffenheim,VfL Wolfsburg,1.85,3.60,4.00,Sonntag
26,28.04.2019,1. FC Nürnberg,FC Bayern München,15.00,6.75,1.17,Sonntag
